What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Finance,Australia,,,01-07-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,MBA,UK,Australia,Canada,01-09-21,No,,Student,,1997,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Health Care,Australia,,,01-01-21,No,,Student,,1992,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Finance,Australia,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,Finance,UK,Canada,,01-01-21,No,,Working professional,7+ years of work exp,1987,Yes,No,,Not provided,Other,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Pharmacy,UK,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Vocational,,,HR,Canada,,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,Own business,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Other,UK,,,01-01-21,Yes,Yes,Working professional,7+ years of work exp,1995,Yes,No,,Not provided,Not provided,Own business,Yes,IELTS,6,Yes,YES,0
Vocational,,,Marketing,UK,,,01-01-21,Yes,No,Working professional,7+ years of work exp,1980,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,No,,0
Undergraduate,,,Business & Economics,UK,,,01-01-21,Yes,No,Student,,1998,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,data science,USA,,,01-09-21,Yes,No,Working professional,7+ years of work exp,1989,Yes,No,,30 lakhs and over,Bank loan,,No,,,Yes,,0
Undergraduate,,,Sciences,USA,USA,USA,01-09-21,No,,Student,,2004,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Other,USA,UK,,01-01-21,No,,Working professional,< 1 year of work exp,1997,Yes,No,,20 - 30 lakhs,Self funding,In-Service,No,,,Yes,none,0
Postgraduate,,,Public Health,Australia,UK,,01-09-21,Yes,No,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Business Management ,Australia,,,01-11-21,No,,Student,,2000,No,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,2000,Yes,No,,Not provided,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Pharmacy,Canada,USA,,01-09-21,No,,Student,,2002,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,none,0
Postgraduate,,,Accounting,New Zealand,Canada,,01-01-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,MBA,Australia,USA,,01-01-21,No,,Working professional,7+ years of work exp,1992,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Vocational,,,Chartered Accountancy ,Canada,,,01-01-21,No,,Student,,1997,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Business & Economics,Canada,UK,UK,01-01-21,Yes,No,Student,,1999,Yes,No,,Not provided,Not provided,In-Service,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Pharmacy,Australia,Canada,,01-01-21,No,,Student,,1999,No,No,,Not provided,Other,In-Service,No,,,No,,0
Undergraduate,,,Engineering,Australia,,,01-09-21,Yes,No,Student,,2003,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Student,,1992,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,None,0
Undergraduate,,,Biotech,Canada,,,01-05-21,No,,Student,,2000,No,No,,Not provided,Bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,Canada,UK,,01-09-21,No,,Student,,1999,No,No,,Not provided,Combined self /parent funding and bank loan,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,USA,USA,USA,01-09-21,No,,Student,,2001,Yes,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,USA,Canada,UK,01-01-21,No,,Student,,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Data Science ,USA,,,01-09-21,No,,Student,,2000,Yes,No,,30 lakhs and over,Parents asset,,Yes,GRE,321,Yes,,1
Vocational,,,Engineering,Canada,Australia,,01-09-21,No,,Student,,1998,No,Yes,< 5 ,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Human Resource,UK,Canada,,01-09-21,No,,Student,,1995,No,Yes,06-Oct,10 - 20 lakhs,Bank loan,,No,,,No,,0
Postgraduate,,,Business & Economics,UK,USA,Canada,01-09-22,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,None,0
Postgraduate,,,MBA,UK,Canada,,01-09-21,Yes,No,Student,,2000,Yes,Yes,< 5 ,Not provided,Self funding,In-Service,No,,,No,,0
Undergraduate,,,commerce,Canada,,,01-01-21,No,,Student,,2003,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Vocational,,,Tourism,Canada,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,Yes,Yes,< 5 ,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,computer management ,UK,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1991,Yes,No,,10 lakhs or under,Self funding,,No,,,No,,0
Vocational,,,Sports Management ,UK,,,01-09-21,No,,Student,,1994,Yes,Yes,< 5 ,10 lakhs or under,Self funding,,No,,,Yes,,0
Postgraduate,,,Data Science,Ireland,UK,Australia,01-01-21,No,,Student,,1990,Yes,No,,Not provided,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Computer Science and Information Technology,Australia,,,01-07-21,Yes,No,Student,,1999,Yes,No,,30 lakhs and over,Bank loan,,No,,,Yes,,0
Postgraduate,,,Surgey,USA,Canada,UK,01-09-22,No,,Working professional,< 1 year of work exp,1995,No,No,,10 lakhs or under,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,UK,,01-09-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,Not provided,Not provided,In-Service,No,,,No,none,0
Vocational,,,Computer Science and Information Technology,Canada,,,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,1994,Yes,No,,20 - 30 lakhs,Bank loan,Own business,Yes,IELTS,7.5,No,,1
Undergraduate,,,business management ,Canada,,,01-09-22,No,,Student,,2004,Yes,No,,20 - 30 lakhs,Parents asset,In-Service,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,UK,Canada,Australia,01-09-21,Yes,No,Student,,2003,No,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,No,None,0
Postgraduate,,,Other,Canada,UK,USA,01-01-21,No,,Student,,1994,No,Yes,> 10,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,Yes,No,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Bank loan,,Yes,IELTS,8,No,,1
Postgraduate,,,Engineering,Canada,,,01-09-22,No,,Student,,1997,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,Own business,Yes,IELTS,8,No,,0
Postgraduate,,,agriculture ,Ireland,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,No,,Not provided,Self funding,,No,,,No,,0
Postgraduate,,,Health Care ,New Zealand,,,01-09-21,No,,Student,,1996,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-05-21,No,,Student,,2001,Yes,No,,10 lakhs or under,Parents asset,,Yes,IELTS,6,Yes,,0
Postgraduate,,,Business & Economics,USA,Canada,Canada,01-01-21,No,,Student,,1994,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,business management ,USA,,,01-01-21,No,,Student,,1998,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Engineering,USA,,,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,1994,Yes,No,,20 - 30 lakhs,Bank loan,,No,,,Yes,,0
Postgraduate,,,Engineering,USA,USA,USA,01-01-22,No,,Working professional,< 1 year of work exp,1996,Yes,No,,Not provided,Bank loan,Own business,No,,,Yes,,0
Postgraduate,,,digital marketing,UK,USA,,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Self funding,,No,,,No,,0
Postgraduate,,,Education,Australia,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1988,Yes,No,,10 lakhs or under,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Arts,UK,Australia,Australia,01-01-21,No,,Working professional,< 1 year of work exp,1995,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Undergraduate,,,Computer Science and Information Technology,Australia,UK,,01-01-21,No,,Student,,2002,No,No,,10 - 20 lakhs,Bank loan,Not provided,No,,,No,,0
Postgraduate,,,Engineering,Australia,,,01-01-21,No,,Working professional,< 1 year of work exp,1996,Yes,Yes,> 10,10 - 20 lakhs,Self funding,,No,,,No,,1
Postgraduate,,,Business & Economics,Australia,Canada,UK,01-01-21,No,,Student,,1999,No,No,,Not provided,Other,In-Service,No,,,No,,0
Undergraduate,,,Music,Canada,UK,,01-09-21,No,,Student,,2003,No,No,,Not provided,Combined self /parent funding and bank loan,Not provided,No,,,No,,0
Vocational,,,Other,Canada,Australia,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,1984,Yes,No,,Not provided,Not provided,Own business,No,,,Yes,none,0
Postgraduate,,,Architecture & Built Environment Studies,Australia,,,01-07-21,No,,Working professional,< 1 year of work exp,1994,Yes,Yes,< 5 ,Not provided,Parents asset,,No,,,Yes,,1
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,business management ,Canada,,,01-09-21,No,,Student,,2001,No,No,,Not provided,Bank loan,,No,,,Yes,,0
Undergraduate,,,Computer Science and Information Technology,Canada,,,01-09-21,Yes,No,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Physiotherapy,Canada,Canada,Canada,01-01-21,No,,Student,,1996,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,Yes,IELTS,6.5,Yes,,1
Undergraduate,,,nursing,Canada,,,01-09-21,Yes,No,Student,,2002,Yes,No,,Not provided,Combined self /parent funding and bank loan,,No,,,Yes,,0
Vocational,,,Business & Economics,Canada,Canada,Canada,01-09-21,No,,Student,,2002,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Networking,Canada,,,01-09-21,No,,Working professional,7+ years of work exp,1984,Yes,No,,10 - 20 lakhs,Self funding,In-Service,Yes,Other,120,No,,1
Postgraduate,,,Engineering,UK,Australia,Canada,01-01-21,No,,Student,,1994,Yes,Yes,> 10,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Supply chain management,Canada,Canada,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 - 20 lakhs,Parents asset,Not provided,No,,,Yes,,0
Vocational,,,Business & Economics,UK,Australia,Canada,01-01-24,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,Not provided,Not provided,In-Service,No,,,No,None,0
Postgraduate,,,Sciences,USA,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1998,No,No,,10 lakhs or under,Self funding,Own business,No,,,No,,0
Undergraduate,,,Law/legal studies,UK,,,01-01-21,No,,Student,,1999,No,No,,Not provided,Bank loan,,No,,,No,,0
Postgraduate,,,Other,Canada,Australia,,01-01-21,No,,Student,,1994,Yes,No,,Not provided,Parents asset,Own business,Yes,IELTS,6,Yes,,0
Postgraduate,,,Health Care management  ,UK,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 lakhs or under,Bank loan,,Yes,IELTS,6,Yes,,0
Postgraduate,,,Engineering,UK,Australia,New Zealand,01-09-21,No,,Working professional,< 1 year of work exp,1996,Yes,Yes,06-Oct,Not provided,Self funding,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,UK,,,01-09-21,No,,Student,,1997,Yes,Yes,< 5 ,20 - 30 lakhs,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Engineering,UK,,,01-01-21,No,,Student,,2000,No,Yes,> 10,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Undergraduate,,,Law/legal studies,USA,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Business & Economics,USA,,,01-09-21,No,,Student,,2000,Yes,No,,Not provided,Not provided,Own business,No,,,No,None,0
Postgraduate,,,Business & Economics,USA,UK,,01-01-22,No,,Student,,2000,No,No,,Not provided,Not provided,Own business,No,,,Yes,none,0
Undergraduate,,,Engineering,USA,,,01-09-22,Yes,No,Student,,2004,No,No,,Not provided,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,MBA,New Zealand,,,01-09-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,Yes,,0
Postgraduate,,,Business & Economics,Ireland,Canada,New Zealand,01-09-21,No,,Working professional,< 1 year of work exp,1995,Yes,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,Yes,None,0
Postgraduate,,,Business & Economics,Australia,New Zealand,,01-09-21,Yes,No,Student,,2000,Yes,No,,Not provided,Not provided,In-Service,No,,,No,none,0
Postgraduate,,,mathematics ,Australia,,,01-09-21,No,,Student,,2001,No,No,,10 lakhs or under,Parents asset,,No,,,No,,0
Postgraduate,,,MBA,Australia,UK,,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Not provided,Own business,No,,,No,,0
Postgraduate,,,Pharmacy,Australia,,,01-01-22,No,,Student,,1995,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Finance,UK,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,risk mangement,Australia,Australia,Australia,01-09-21,No,,Student,,2000,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,No,None,0
Postgraduate,,,Engineering,Australia,,,01-01-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,,No,,,No,,1
Vocational,,,Computer Science and Information Technology,Australia,Canada,,01-01-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,DATA ANALYTICS,Canada,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,30 lakhs and over,Bank loan,Own business,No,,,Yes,None,0
Postgraduate,,,Management ,Canada,,,17-06-05,No,,Student,,1995,Yes,Yes,< 5 ,Not provided,Parents asset,,Yes,IELTS,6,Yes,,0
Postgraduate,,,AI,Canada,UK,USA,01-01-22,Yes,No,Student,,2001,No,No,,10 - 20 lakhs,Bank loan,In-Service,No,,,No,,0
Postgraduate,,,Medicine,UK,Canada,Australia,01-09-21,No,,Student,,1996,Yes,No,,Not provided,Bank loan,In-Service,No,,,No,None,0
Vocational,,,Culnary skills,Canada,,,01-09-21,Yes,No,Student,,2003,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6.5,Yes,,1
Vocational,,,finance,Canada,,,01-01-21,No,,Student,,1992,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,USA,Canada,Canada,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,Yes,< 5 ,10 lakhs or under,Parents asset,Not provided,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,UK,Canada,01-01-21,No,,Working professional,7+ years of work exp,1989,Yes,No,,Not provided,Parents asset,Not provided,No,,,Yes,None,0
Postgraduate,,,Engineering,UK,Australia,,01-09-21,No,,Student,,1999,No,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,business management ,Canada,,,01-01-21,No,,Working professional,7+ years of work exp,1981,Yes,Yes,06-Oct,Not provided,Self funding,,No,,,Yes,,0
Postgraduate,,,business management ,Canada,,,01-09-21,No,,Student,,1997,Yes,No,,Not provided,Self funding,,No,,,Yes,,0
Postgraduate,,,Health proffession,UK,Canada,Canada,22-06-05,Yes,Yes,Working professional,< 1 year of work exp,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Vocational,,,Business & Economics,UK,Canada,,01-01-21,No,,Student,,2000,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Undergraduate,,,Business & Economics,UK,,,01-09-21,Yes,No,Student,,2002,Yes,No,,10 - 20 lakhs,Self funding,Own business,No,,,Yes,yes,1
Undergraduate,,,Architecture & Built Environment Studies,UK,UK,UK,01-09-21,Yes,No,Student,,2003,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Medicine,UK,Australia,,01-01-22,No,,Student,,1996,Yes,No,,Not provided,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,MBA,Canada,,,01-09-21,Yes,No,Student,,1998,Yes,No,,Not provided,Parents asset,Own business,Yes,GRE,315,No,,0
Postgraduate,,,Business & Economics,USA,Australia,UK,01-01-22,No,,Student,,1997,No,No,,Not provided,Other,In-Service,No,,,No,,0
Postgraduate,,,management ,USA,Canada,,01-09-21,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Australia,Australia,Australia,01-09-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,20 - 30 lakhs,Parents asset,Own business,Yes,TOEFL,8.1,Yes,,0
Undergraduate,,,Engineering,Australia,,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Sponsorship by relatives,,No,,,Yes,,0
Postgraduate,,,Physiotherapy,Australia,USA,,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,8,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Australia,USA,UK,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Vocational,,,Makeup,Australia,,,01-09-21,No,,Student,,1999,No,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Construction Management ,Australia,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,Yes,No,,Not provided,Self funding,Own business,No,,,No,,1
Vocational,,,Travel,Australia,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1993,No,No,,Not provided,Parents asset,Own business,No,,,Yes,,1
Vocational,,,Sciences,Australia,Canada,UK,01-09-21,Yes,No,Student,,1996,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,AI,Canada,,,01-09-21,No,,Student,,1999,Yes,No,,10 - 20 lakhs,Parents asset,Own business,Yes,IELTS,6,No,,0
Postgraduate,,,Engineering,Canada,USA,New Zealand,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Vocational,,,Agriculture,Canada,,,01-01-21,No,,Student,,2000,No,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Agriculture,Canada,,,01-09-21,No,,Student,,1998,Yes,No,,20 - 30 lakhs,Parents asset,,No,,,No,,0
Postgraduate,,,Engineering,Canada,UK,Ireland,01-09-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Other,Canada,,,01-09-21,Yes,No,Working professional,4 - 6 years of work exp,1991,Yes,No,,10 lakhs or under,Combined self /parent funding and bank loan,In-Service,Yes,IELTS,7,Yes,,0
Undergraduate,,,Computer Science and Information Technology,UK,,,01-01-21,No,,Student,,2002,Yes,No,,30 lakhs and over,Parents asset,,No,,,No,,0
Undergraduate,,,Sports,UK,,,01-01-21,No,,Working professional,7+ years of work exp,1994,Yes,No,,10 - 20 lakhs,Self funding,In-Service,No,,,Yes,,0
Postgraduate,,,Business Management ,USA,,,01-09-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Parents asset,Own business,Yes,GMAT,500,Yes,,0
Postgraduate,,,Computer Science and Information Technology,Canada,Australia,New Zealand,01-01-21,No,,Student,,1994,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Vocational,,,Automobiles,UK,,,01-01-21,No,,Working professional,7+ years of work exp,1991,Yes,No,,Not provided,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Fashion designing,UK,Canada,Ireland,01-09-21,No,,Working professional,< 1 year of work exp,1995,Yes,Yes,< 5 ,10 lakhs or under,Parents asset,In-Service,No,,,No,,1
Postgraduate,,,Law/legal studies,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1995,Yes,No,,10 - 20 lakhs,Self funding,,No,,,Yes,,0
Postgraduate,,,Biology,UK,Australia,Canada,01-01-21,No,,Student,,1995,Yes,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Undergraduate,,,Sciences,USA,Canada,Australia,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Other,In-Service,No,,,No,,1
Postgraduate,,,Public Health,USA,Canada,Canada,01-01-21,No,,Working professional,7+ years of work exp,1981,Yes,Yes,< 5 ,Not provided,Self funding,Own business,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,,,01-01-21,Yes,No,Student,,1998,Yes,No,,10 lakhs or under,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Australia,Australia,01-01-21,No,,Working professional,1 - 3 years of work exp,1993,Yes,No,,10 - 20 lakhs,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Undergraduate,,,Hospitality,Australia,,,01-01-21,No,,Student,,2000,Yes,No,,Not provided,Parents asset,In-Service,Yes,IELTS,6.5,Yes,,1
Postgraduate,,,Business & Economics,Australia,UK,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,No,,0
Postgraduate,,,MBA,Australia,USA,,01-01-21,Yes,No,Working professional,4 - 6 years of work exp,1996,No,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Undergraduate,,,management ,Australia,,,01-09-21,No,,Student,,2003,Yes,No,,Not provided,Parents asset,,No,,,No,,0
Postgraduate,,,Engineering,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1994,Yes,No,,Not provided,Other,In-Service,Yes,IELTS,5.5,No,,0
Postgraduate,,,business management ,Canada,,,01-01-21,Yes,No,Student,,1996,Yes,No,,Not provided,Parents asset,,Yes,TOEFL,103,Yes,,0
Postgraduate,,,law,Canada,Canada,Canada,01-09-22,No,,Student,,2000,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Other,Canada,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Not provided,Own business,No,,,Yes,none,0
Postgraduate,,,Para Medical,Canada,,,01-01-21,No,,Student,,1997,Yes,No,,10 lakhs or under,Parents asset,In-Service,Yes,IELTS,7,Yes,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-09-22,No,,Student,,1999,Yes,No,,Not provided,Parents asset,Own business,No,,,Yes,,0
Postgraduate,,,Robotics,Canada,,,01-09-22,No,,Student,,2000,Yes,No,,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,Business & Economics,Canada,Canada,Canada,01-09-21,No,,Student,,2000,Yes,No,,10 - 20 lakhs,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Nursing,USA,,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Combined self /parent funding and bank loan,In-Service,No,,,No,,0
Postgraduate,,,Other,UK,Canada,,01-01-21,No,,Student,,1999,Yes,Yes,< 5 ,10 - 20 lakhs,Parents asset,In-Service,No,,,Yes,,0
Postgraduate,,,Business Management,USA,,,01-09-21,No,,Student,,2000,Yes,No,,30 lakhs and over,Parents asset,,No,,,Yes,,0
Postgraduate,,,Computer Science and Information Technology,UK,,,01-01-21,No,,Student,,1998,Yes,No,,Not provided,Self funding,,No,,,No,,0
Postgraduate,,,MBA,UK,,,01-09-21,No,,Working professional,4 - 6 years of work exp,1992,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,No,,0
Postgraduate,,,business management ,UK,,,01-09-21,Yes,No,Student,,1990,Yes,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,,No,,,No,,0
Postgraduate,,,Fashion,UK,USA,USA,01-09-21,No,,Working professional,1 - 3 years of work exp,1997,Yes,Yes,< 5 ,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,M.Ed,Canada,UK,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Combined self /parent funding and bank loan,Own business,No,,,Yes,,0
Postgraduate,,,Engineering,Australia,USA,,01-01-21,No,,Student,,1997,Yes,No,,20 - 30 lakhs,Parents asset,Own business,Yes,TOEFL,8.2,No,,0
Postgraduate,,,Business & Economics,UK,Canada,USA,01-09-21,No,,Working professional,< 1 year of work exp,1998,Yes,No,,20 - 30 lakhs,Parents asset,Not provided,No,,,No,,0
Postgraduate,,,Fashion Designing,UK,Canada,,01-01-21,Yes,No,Student,,1999,Yes,No,,20 - 30 lakhs,Parents asset,,No,,,Yes,,0
Undergraduate,,,Media & Communications,USA,,,01-01-21,No,,Student,,2003,No,No,,10 lakhs or under,Parents asset,,No,,,Yes,,0
Postgraduate,,,Data Science,USA,,,01-01-21,No,,Working professional,< 1 year of work exp,1999,Yes,Yes,< 5 ,Not provided,Parents asset,Own business,No,,,Yes,,0
Undergraduate,,,Business & Economics,Canada,,,01.09.2022,No,,Student,,2003,Yes,No,,Not provided,Parents asset,,No,,,Yes,,0
Postgraduate,,,Business & Economics,Australia,USA,Canada,01-01-21,No,,Working professional,1 - 3 years of work exp,1999,No,No,,10 lakhs or under,Parents asset,In-Service,No,,,Yes,,0
Vocational,,,Business,Australia,,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,10 - 20 lakhs,Parents asset,,Yes,IELTS,6,Yes,,0
