What's your preferred study level?,"If Ph.D., do you already have a supervisor who's happy to work with you?","If Yes, has the supervisor approved your proposal?",What is your intended study area?,Choose the most preferred destination you would like to study?,Choose the second most preferred destination you would like to study?,Choose the third most preferred destination you would like to study?,What is the study plan month and year?,Have you contacted or shortlisted your University already?,Have you already started the application process directly with the university OR were you asked by the university to contact us to complete the application?,"Currently, are you a student or a working professional?",How much work experience do you have?,Please mention year of birth?,Do you already have a passport?,We would like to know bit better about your academic achievements so far. So have you had any backlogs?,"If yes, choose the number of backlogs you had",How much are you planning to spend on your studies and the living costs per year?,So you mentioned that your budget is XXX lakhs. How are you going to fund your studies?,Are your parents in service or doing their own business?,Have you taken any English proficiency test?,"If yes, please provide the test","If yes, what was the score overall?",Have any of your family members studied abroad OR do you have any friends or family in the country that you want to study in?,Which other study abroad consultants are you in touch with for your application?,Lead converted flag
Postgraduate,,,Business & Economics,UK,Canada,Australia,01-09-21,No,,Student,,1985,Yes,Yes,< 5 ,Not provided,Other,Not provided,No,,,Yes,SI-UK consultants,0
Postgraduate,,,Other,Canada,New Zealand,USA,01-09-21,No,,Student,,1999,Yes,No,,Not provided,Not provided,Own business,No,,,Yes,None,0
Postgraduate,,,Other,UK,USA,,01-09-21,No,,Student,,1999,Yes,No,,20 - 30 lakhs,Combined self /parent funding and bank loan,In-Service,No,,,Yes,,0
Postgraduate,,,Business & Economics,UK,,,01-01-21,No,,Working professional,7+ years of work exp,1998,Yes,Yes,< 5 ,10 - 20 lakhs,Self funding,Not provided,No,,,No,,0
Postgraduate,,,Other,UK,UK,UK,01-09-21,No,,Student,,1999,No,No,,10 lakhs or under,Parents asset,Own business,No,,,No,Not in touch with anyone,0
Postgraduate,,,Other,UK,Canada,USA,01.09.2022,No,,Student,,20022002,Yes,No,,Not provided,Not provided,Own business,No,,,No,No did not contact,0
Vocational,,,Other,Canada,USA,New Zealand,01-09-21,No,,Student,,1995,Yes,No,,Not provided,Not provided,In-Service,Yes,IELTS,6,No,Mentor Mentee,0
Undergraduate,,,Engineering,UK,Australia,New Zealand,01-09-21,Yes,No,Student,,1999,Yes,No,,Not provided,Bank loan,Not provided,No,,,No,Not in touch with any consultant,0
Undergraduate,,,Computer Science and Information Technology,UK,,,01-09-22,No,,Student,,2002,No,No,,Not provided,Parents asset,In-Service,No,,,No,,0
Postgraduate,,,Business & Economics,Australia,Ireland,,01-01-21,No,,Working professional,1 - 3 years of work exp,1996,Yes,No,,Not provided,Bank loan,Not provided,No,,,No,Not contacted any one.,0
Undergraduate,,,Engineering,UK,,,01-01-21,No,,Working professional,4 - 6 years of work exp,1991,Yes,No,,Not provided,Not provided,Own business,Yes,IELTS,6,Yes,no,0
Postgraduate,,,Computer Science and Information Technology,UK,Australia,Canada,01-01-21,No,,Student,,1998,Yes,No,,10 - 20 lakhs,Not provided,Own business,No,,,Yes,None,0
